0% 1.4609 0.6418 0.864 0.7968 0.9918 0.013234600578235 0.002237610332475 0.003156722984362 nan 0.000831182938015
2.00% 1.6385 0.5929 0.8308 0.3986 0.9801 0.043504725333654 0.008838891333193 0.008464632301524 nan 0.000906255085686
4.00% 1.9897 0.5087 0.7696 0 0.9829 0.068052109931219 0.014340306830748 0.010958448795336 nan 0.007142663428382
6.00% 2.7751 0.3564 0.6256 0 0.9851 0.22445994181617 0.033917914145773 0.035775982166811 nan 0.013735653697776
8.00% 3.7507 0.2068 0.4501 0 0.9936 0.328559336667432 0.041707218799628 0.045265528827133 nan 0.012889027980276
10.0% 4.8214 0.0803 0.2347 0 0.9966 0.227768417135351 0.016952430504208 0.020446163454301 nan 0.013621927807626
12.00% 5.6706 0.0325 0.1402 0 0.9934 0.343409499706182 0.008628765844546 0.01890255273766 nan 0.022347440437949
14.00% 5.597 0.0215 0.0962 0 0.9955 0.308138664403674 0.004768270126576 0.009475568584523 nan 0.025985314147571
16.00% 5.5817 0.0177 0.0743 0 0.9953 0.336031673938883 0.003756381237308 0.008603656199547 nan 0.024248524680161
18.00% 5.6723 0.0132 0.0539 0 0.9941 0.311814934121065 0.001791116969938 0.002869773510227 nan 0.028554866976496
20.0% 5.6235 0.0118 0.0521 0 0.9921 0.337373206124806 0.001499466571818 0.001752740711001 nan 0.003593384766557
25.00% 5.592 0.01 0.051 0 0.9968 0.228939603909994 0.000155241746963 0.001501366044641 nan 0.004894049214251
30.0% 5.3963 0.0101 0.05 0 0.9996 0.260638843323103 0.000256124969497 0.000161554944214 nan 0.004999800032001
